Id,algebra,programming,data science,robotics,economics,job,salary
96,58,81,64,80,81,senior developer,610000
97,72,68,51,66,58,data scientist,660000
98,83,81,99,78,89,data scientist,950000
99,81,91,50,76,61,data scientist,880000
100,73,79,65,50,59,data scientist,830000
101,56,52,69,90,54,robotics engineer,890000
102,66,65,99,60,54,data scientist,850000
103,62,78,78,88,71,junior developer,160000
104,58,71,93,60,65,data scientist,680000
105,66,57,93,92,91,developer,250000
106,64,74,85,62,92,junior developer,150000
107,77,61,84,55,91,developer,270000
108,93,73,83,95,67,developer,340000
109,99,54,58,80,62,economist,390000
110,59,86,87,91,65,senior developer,590000
111,90,92,88,98,69,junior developer,210000
112,68,97,63,96,60,data scientist,1000000
113,52,57,73,72,86,developer,220000
114,68,66,91,96,91,robotics engineer,990000
115,87,76,97,76,74,junior developer,150000
116,72,94,82,78,66,robotics engineer,940000
117,52,53,60,68,81,junior developer,110000
118,92,96,85,74,69,robotics engineer,1200000
119,96,82,75,67,83,developer,320000
120,86,96,77,60,76,developer,380000
121,58,68,75,65,88,developer,250000
122,76,80,57,53,69,data scientist,740000
123,91,65,80,99,66,data scientist,670000
124,58,86,84,69,85,senior developer,580000
125,51,87,63,94,99,robotics engineer,1130000
126,96,55,86,98,96,senior developer,620000
127,58,91,87,73,52,developer,370000
128,94,70,84,67,98,senior developer,580000
129,52,93,92,81,97,developer,300000
130,70,64,93,59,60,senior developer,450000
131,50,50,82,74,54,developer,180000
132,84,84,63,85,79,developer,370000
133,93,61,78,55,76,senior developer,490000
134,75,81,74,80,88,economist,370000
135,64,58,89,81,74,junior developer,130000
136,54,54,78,98,73,robotics engineer,950000
137,66,61,71,51,57,data scientist,630000
138,74,72,64,84,63,junior developer,160000
139,89,57,55,50,71,robotics engineer,820000
140,54,65,65,81,95,junior developer,130000
141,67,82,98,77,99,senior developer,550000
142,85,70,97,65,83,developer,320000
143,87,77,92,52,81,economist,460000
144,82,92,87,53,64,junior developer,210000
145,77,51,70,99,62,data scientist,550000
146,53,92,79,82,72,data scientist,910000
147,58,87,67,54,54,robotics engineer,880000
148,61,86,85,87,64,data scientist,950000
149,62,69,59,69,56,junior developer,130000
150,90,93,87,85,63,economist,410000
151,79,89,92,56,73,economist,420000
152,65,93,94,89,92,robotics engineer,1140000
153,51,89,86,99,55,senior developer,600000
154,89,55,78,59,64,senior developer,480000
155,55,92,78,95,50,senior developer,610000
156,53,83,57,51,96,developer,320000
157,80,65,89,66,90,developer,280000
158,77,58,64,58,88,junior developer,150000
159,81,59,92,91,68,developer,280000
160,97,72,76,56,50,economist,350000
161,56,56,51,85,57,data scientist,640000
162,65,53,95,69,50,senior developer,410000
163,63,65,72,53,78,junior developer,130000
164,67,95,70,77,55,economist,380000
165,50,57,79,55,87,economist,380000
166,97,55,79,81,75,economist,480000
167,50,97,52,96,75,developer,350000
168,78,64,59,60,99,robotics engineer,750000
169,70,96,59,97,76,developer,360000
170,99,98,53,52,71,data scientist,860000
171,81,88,74,90,73,economist,390000
172,91,96,95,63,83,junior developer,200000
173,62,76,54,82,73,economist,340000
174,98,75,65,95,70,robotics engineer,1090000
175,90,67,90,98,83,senior developer,540000
176,55,56,97,59,74,data scientist,690000
177,71,50,85,79,80,senior developer,420000
178,64,87,93,51,81,economist,390000
179,56,95,86,68,87,data scientist,970000
180,78,66,68,71,87,junior developer,170000
181,79,57,77,97,68,data scientist,690000
182,62,97,61,54,78,robotics engineer,980000
183,64,83,74,77,84,developer,320000
184,69,62,71,98,84,data scientist,650000
185,63,85,91,61,56,senior developer,520000
186,70,98,92,81,75,data scientist,1070000
187,94,92,88,92,70,developer,420000
188,88,93,50,88,59,economist,410000
189,57,60,62,61,93,robotics engineer,830000
190,68,92,60,94,67,developer,350000
191,50,56,54,77,98,economist,390000
192,56,76,77,63,63,junior developer,160000
193,92,89,95,64,60,data scientist,980000
194,92,84,70,68,97,developer,320000
195,63,89,56,71,71,senior developer,540000
196,76,56,56,73,83,developer,270000
197,77,69,79,53,63,senior developer,450000
198,70,75,80,90,83,senior developer,580000
199,50,82,86,78,51,junior developer,140000
200,88,81,74,75,73,junior developer,190000
201,54,87,74,58,95,economist,340000
202,71,51,92,71,56,robotics engineer,710000
203,88,56,90,96,58,economist,380000
204,66,62,70,97,53,data scientist,730000
205,56,89,51,66,57,robotics engineer,890000
206,52,73,75,92,58,data scientist,660000
207,91,79,82,57,62,data scientist,840000
208,95,66,51,59,57,senior developer,540000
209,99,52,81,79,97,junior developer,160000
210,77,68,69,72,92,developer,260000
211,52,51,68,75,82,economist,300000
212,61,91,79,72,79,economist,420000
213,75,75,50,90,55,data scientist,810000
214,80,55,68,80,98,senior developer,460000
215,50,57,82,62,84,junior developer,110000
216,99,98,59,90,79,developer,430000
217,53,78,54,96,74,developer,330000
218,52,74,85,54,60,economist,360000
219,75,82,89,89,70,economist,370000
220,66,73,78,86,79,developer,280000
221,65,77,92,59,63,junior developer,170000
222,76,54,75,69,75,robotics engineer,800000
223,61,71,91,91,91,data scientist,840000
224,80,95,83,78,71,robotics engineer,1050000
225,71,54,86,93,80,senior developer,560000
226,92,53,66,55,91,robotics engineer,760000
227,81,96,78,91,50,developer,390000
228,76,74,68,96,64,economist,330000
229,79,69,99,86,51,robotics engineer,1010000
230,88,92,97,65,62,economist,390000
231,53,74,73,69,50,data scientist,630000
232,50,96,62,54,54,developer,370000
233,97,99,67,88,85,senior developer,630000
234,96,98,81,75,90,robotics engineer,1230000
235,88,79,63,64,92,junior developer,160000
236,77,50,63,79,68,junior developer,120000
237,66,96,53,79,95,robotics engineer,1060000
238,65,93,92,60,73,robotics engineer,1060000
239,70,58,66,83,91,developer,250000
240,93,60,67,64,93,developer,290000
241,52,95,60,78,71,economist,330000
242,56,52,67,52,75,economist,380000
243,70,86,76,71,95,developer,370000
244,68,63,53,94,50,robotics engineer,920000
245,97,57,86,78,59,senior developer,590000
246,92,96,55,61,50,data scientist,1040000
247,79,96,80,74,75,robotics engineer,1130000
248,91,61,75,78,90,data scientist,650000
249,99,69,70,55,94,developer,340000
250,90,70,75,94,92,robotics engineer,1080000
251,82,72,56,62,77,robotics engineer,790000
252,78,74,75,55,95,developer,350000
253,50,81,84,90,77,economist,360000
254,51,75,93,67,74,developer,290000
255,74,76,66,61,96,junior developer,170000
256,90,76,81,73,77,junior developer,150000
257,80,99,60,92,82,robotics engineer,1270000
258,90,98,86,92,60,data scientist,980000
259,85,52,83,58,76,developer,240000
260,98,73,84,90,99,robotics engineer,1000000
261,68,61,74,51,96,senior developer,400000
262,86,84,92,81,87,economist,490000
263,96,87,65,60,77,economist,440000
264,93,65,72,68,59,economist,340000
265,55,64,69,97,58,junior developer,120000
266,80,96,51,96,64,developer,390000
267,50,73,72,75,99,economist,400000
268,76,55,96,90,54,developer,270000
269,62,56,86,80,57,economist,300000
270,63,51,91,91,57,economist,350000
271,73,54,95,62,81,robotics engineer,840000
272,90,92,99,73,89,developer,350000
273,78,79,78,59,98,senior developer,620000
274,67,87,54,93,92,senior developer,500000
275,96,64,95,79,85,robotics engineer,970000
276,59,86,79,94,76,data scientist,820000
277,97,52,72,85,73,developer,270000
278,80,74,81,91,84,economist,360000
279,56,52,97,70,90,developer,200000
280,51,76,87,96,96,developer,310000
281,86,77,52,77,99,economist,420000
282,97,96,78,69,69,junior developer,220000
283,58,53,68,79,87,economist,350000
284,51,95,85,68,86,data scientist,880000
285,84,77,61,82,61,robotics engineer,1040000
286,53,59,74,61,66,data scientist,570000
287,51,81,84,82,97,robotics engineer,840000
288,56,60,81,76,60,developer,260000
289,91,74,95,77,61,data scientist,880000
290,74,64,61,79,62,data scientist,660000
291,54,94,96,56,84,economist,400000
292,62,85,76,70,85,data scientist,750000
293,78,82,77,83,54,developer,320000
294,67,85,56,94,77,economist,360000
295,64,69,78,57,61,junior developer,140000
296,81,81,82,56,79,senior developer,640000
297,79,80,68,92,70,robotics engineer,950000
298,52,68,61,83,95,junior developer,140000
299,67,92,98,84,75,senior developer,640000
300,82,52,99,62,85,robotics engineer,820000
301,81,81,80,59,73,junior developer,190000
302,54,97,66,66,79,economist,400000
303,74,74,77,87,59,robotics engineer,1030000
304,56,86,58,64,90,senior developer,470000
305,53,90,84,57,75,senior developer,580000
306,74,80,80,86,58,senior developer,540000
307,81,67,54,77,66,robotics engineer,840000
308,74,64,58,80,56,economist,350000
309,87,51,61,75,70,data scientist,700000
310,94,90,75,73,63,junior developer,200000
311,99,91,96,54,90,robotics engineer,1100000
312,71,87,52,58,66,developer,300000
313,86,69,55,62,74,junior developer,140000
314,78,65,99,96,80,robotics engineer,1180000
315,96,63,80,71,75,economist,470000
316,89,92,94,90,58,robotics engineer,1250000
317,92,67,93,70,83,senior developer,480000
318,74,86,86,54,75,developer,310000
319,89,61,98,67,95,developer,280000
320,74,75,60,97,62,developer,330000
321,99,83,97,51,89,data scientist,1030000
322,82,62,69,85,91,senior developer,580000
323,77,92,68,95,61,robotics engineer,1200000
324,67,77,91,67,85,developer,310000
325,81,53,87,75,55,data scientist,610000
326,66,80,65,51,68,economist,340000
327,88,58,63,92,69,senior developer,520000
328,53,52,51,62,62,developer,230000
329,85,99,77,50,94,senior developer,640000
330,78,65,69,82,79,data scientist,800000
331,56,98,70,70,92,senior developer,590000
332,93,83,56,74,54,robotics engineer,1030000
333,92,73,85,68,57,data scientist,790000
334,76,83,72,54,55,robotics engineer,940000
335,56,84,59,52,98,developer,340000
336,60,87,54,90,85,junior developer,150000
337,77,75,69,74,86,senior developer,490000
338,87,77,55,68,79,economist,420000
339,96,67,64,87,83,senior developer,600000
340,92,68,79,99,65,economist,430000
341,97,93,61,79,63,junior developer,180000
342,58,51,57,54,99,developer,200000
343,66,88,91,98,75,data scientist,880000
344,65,50,75,54,83,data scientist,590000
345,63,56,74,77,98,economist,430000
346,73,84,62,98,53,junior developer,190000
347,59,87,69,88,83,junior developer,140000
348,68,81,54,95,50,senior developer,590000
349,55,74,67,67,77,data scientist,670000
350,63,92,80,71,90,robotics engineer,1060000
351,83,89,56,84,83,economist,450000
352,59,86,77,57,92,senior developer,630000
353,88,86,76,73,69,economist,430000
354,84,63,63,52,99,senior developer,480000
355,82,53,53,67,90,robotics engineer,860000
356,77,78,52,60,90,data scientist,750000
357,79,61,69,98,75,developer,270000
358,71,83,69,90,57,junior developer,150000
359,95,99,97,50,82,senior developer,650000
360,77,76,92,89,58,senior developer,660000
361,99,89,79,71,89,robotics engineer,1060000
362,99,55,58,56,74,junior developer,170000
363,56,80,56,59,51,developer,280000
364,80,87,67,68,80,data scientist,860000
365,82,86,56,69,61,junior developer,170000
366,74,52,69,75,87,junior developer,140000
367,98,70,98,62,70,data scientist,890000
368,54,72,55,71,96,data scientist,750000
369,79,72,78,59,76,junior developer,160000
370,83,63,78,84,97,senior developer,470000
371,95,57,60,95,85,robotics engineer,1040000
372,74,93,64,83,85,junior developer,170000
373,96,78,97,62,89,senior developer,540000
374,95,79,96,83,95,junior developer,200000
375,53,91,81,54,81,robotics engineer,990000
376,76,65,88,53,93,developer,260000
377,94,88,98,58,74,economist,510000
378,59,76,59,98,50,junior developer,150000
379,58,50,80,81,89,data scientist,690000
380,94,73,59,55,51,developer,360000
381,67,93,54,54,63,robotics engineer,920000
382,97,68,74,68,51,developer,360000
383,53,86,56,76,50,data scientist,760000
384,60,96,69,53,54,economist,350000
385,73,61,61,81,70,robotics engineer,800000
386,84,71,87,82,63,developer,340000
387,76,52,80,55,86,senior developer,410000
388,75,86,73,91,50,junior developer,160000
389,52,72,71,84,90,senior developer,500000
390,51,77,99,77,84,junior developer,130000
391,71,51,86,87,74,senior developer,540000
392,98,86,83,75,51,developer,390000
393,80,60,80,82,82,developer,250000
394,74,67,54,84,64,junior developer,140000
395,81,81,86,57,76,junior developer,150000
396,98,69,93,81,86,data scientist,730000
397,94,95,87,58,75,developer,450000
398,54,54,97,90,54,junior developer,100000
399,52,85,90,67,59,economist,370000
400,81,80,71,70,73,data scientist,760000
401,93,72,82,77,61,robotics engineer,840000
402,76,82,61,52,70,data scientist,830000
403,58,84,62,98,86,junior developer,150000
404,92,64,87,71,55,data scientist,850000
405,60,78,66,98,54,robotics engineer,1120000
406,67,73,93,62,96,robotics engineer,920000
407,55,86,52,55,87,robotics engineer,790000
408,55,67,76,85,75,developer,230000
409,84,74,79,70,70,data scientist,870000
410,96,88,92,90,55,senior developer,680000
411,83,52,94,89,68,junior developer,140000
412,99,50,51,81,69,junior developer,150000
413,72,70,83,51,54,junior developer,160000
414,90,84,58,94,53,robotics engineer,1120000
415,60,99,98,72,78,developer,360000
416,81,90,90,54,77,developer,380000
417,69,67,65,74,95,developer,310000
418,88,74,64,89,88,robotics engineer,930000
419,94,69,94,96,88,data scientist,720000
420,69,63,72,91,80,junior developer,120000
421,92,99,82,74,70,economist,440000
422,92,97,59,54,89,senior developer,650000
423,81,61,60,63,60,data scientist,640000
424,83,73,62,51,90,developer,320000
425,80,86,72,69,88,data scientist,780000
426,60,63,74,94,85,data scientist,750000
427,95,51,51,57,88,developer,290000
428,94,67,75,67,98,data scientist,670000
429,99,58,76,67,52,developer,310000
430,88,56,87,53,88,developer,260000
431,51,80,68,63,75,senior developer,570000
432,77,73,75,79,85,developer,310000
433,56,79,84,77,54,junior developer,120000
434,96,59,72,95,87,senior developer,490000
435,82,89,65,60,98,data scientist,790000
436,81,60,79,81,56,developer,300000
437,86,91,54,77,68,data scientist,780000
438,64,90,65,54,59,senior developer,620000
439,94,86,59,88,68,economist,450000
440,99,83,97,62,72,senior developer,620000
441,56,56,87,96,61,data scientist,680000
442,94,64,60,69,71,economist,350000
443,84,85,57,88,54,developer,330000
444,58,60,91,98,61,robotics engineer,980000
445,99,53,97,59,97,developer,290000
446,67,53,82,61,70,developer,250000
447,72,73,81,51,59,junior developer,130000
448,54,81,79,75,64,junior developer,130000
449,87,84,57,54,78,senior developer,540000
450,60,96,85,51,78,data scientist,800000
451,99,95,85,73,86,robotics engineer,1020000
452,97,58,84,94,58,developer,330000
453,95,87,67,88,91,developer,360000
454,50,67,98,95,97,data scientist,780000
455,81,54,66,81,75,developer,240000
456,88,80,84,55,54,economist,430000
457,79,77,69,89,95,data scientist,760000
458,77,79,88,98,74,developer,320000
459,56,51,52,87,91,economist,350000
460,50,82,78,85,83,senior developer,560000
461,94,64,67,71,56,economist,430000
462,74,62,74,85,87,economist,460000
463,92,82,90,98,86,economist,470000
464,58,70,63,96,78,data scientist,600000
465,69,72,98,85,94,data scientist,880000
466,74,80,72,90,98,developer,370000
467,76,77,86,62,99,data scientist,790000
468,87,88,73,73,71,economist,410000
469,75,72,55,86,71,robotics engineer,920000
470,96,82,56,90,93,economist,440000
471,73,68,68,87,55,economist,310000
472,75,63,93,84,97,economist,450000
473,72,87,93,64,75,data scientist,930000
474,82,54,50,60,73,developer,240000
475,76,79,92,96,99,robotics engineer,950000
476,94,74,79,97,81,developer,380000
477,70,57,53,82,74,data scientist,610000
478,93,87,95,82,87,economist,460000
479,97,71,58,80,97,junior developer,190000
480,63,95,86,90,89,economist,470000
481,75,80,89,60,66,senior developer,620000
482,75,61,89,52,76,data scientist,820000
483,79,95,52,86,78,data scientist,870000
484,81,62,91,93,87,data scientist,680000
485,76,72,69,96,94,economist,410000
486,52,70,77,77,82,junior developer,140000
487,96,98,83,86,66,senior developer,630000
488,82,77,84,93,94,developer,350000
489,79,93,65,61,93,robotics engineer,1080000
490,68,77,65,60,62,economist,340000
491,81,78,85,60,83,robotics engineer,950000
492,79,62,97,82,62,economist,370000
493,89,70,88,50,85,developer,360000
494,87,53,63,71,77,developer,240000
495,73,79,56,82,78,junior developer,140000
496,91,58,98,98,71,economist,380000
497,91,75,78,92,53,robotics engineer,1060000
498,59,58,75,88,80,senior developer,500000
499,56,99,68,62,76,robotics engineer,1040000
500,98,57,62,70,63,robotics engineer,820000
501,82,77,70,75,88,developer,370000
502,98,73,59,74,71,senior developer,510000
503,60,50,54,82,58,senior developer,460000
504,67,99,73,87,81,data scientist,1010000
505,95,81,52,59,57,robotics engineer,820000
506,64,76,82,70,94,senior developer,480000
507,94,75,54,71,52,robotics engineer,1050000
508,74,70,80,66,79,robotics engineer,860000
509,95,92,96,65,65,robotics engineer,1170000
510,77,63,89,98,54,senior developer,590000
511,78,89,60,96,95,developer,330000
512,76,75,52,63,81,junior developer,140000
513,76,93,82,57,78,senior developer,520000
514,86,60,85,76,97,developer,260000
515,92,82,54,62,54,junior developer,180000
516,67,57,79,74,63,data scientist,690000
517,61,84,85,77,94,junior developer,150000
518,98,96,80,94,99,robotics engineer,1320000
519,80,51,85,66,73,robotics engineer,830000
520,68,77,90,73,88,junior developer,140000
521,65,94,86,75,64,data scientist,970000
522,90,96,98,66,59,senior developer,670000
523,69,89,83,80,80,developer,350000
524,59,54,65,67,78,developer,220000
525,81,96,51,63,68,robotics engineer,1050000
526,78,59,62,70,92,economist,380000
527,73,97,96,72,55,junior developer,180000
528,81,53,89,60,79,data scientist,670000
529,82,76,65,91,51,data scientist,890000
530,77,50,89,67,91,economist,410000
531,74,54,77,70,55,developer,230000
532,96,75,58,89,66,data scientist,840000
533,83,80,79,56,85,robotics engineer,900000
534,62,62,88,78,73,junior developer,140000
535,94,81,91,50,98,economist,500000
536,63,75,91,52,50,data scientist,860000
537,79,94,55,87,60,junior developer,210000
538,93,69,90,52,78,junior developer,150000
539,97,98,86,66,52,junior developer,200000
540,62,89,79,63,93,economist,390000
541,82,79,72,54,71,senior developer,550000
542,79,90,80,67,51,senior developer,640000
543,56,84,56,75,81,economist,350000
544,79,60,67,72,59,junior developer,130000
545,81,81,55,71,57,economist,380000
546,68,82,90,82,73,senior developer,650000
547,53,77,90,64,59,data scientist,850000
548,62,50,59,71,87,economist,330000
549,83,63,57,53,76,data scientist,620000
550,71,93,86,63,95,economist,470000
551,54,75,66,52,76,senior developer,440000
552,68,69,94,84,69,junior developer,160000
553,69,99,69,99,94,economist,420000
554,97,83,75,67,86,senior developer,540000
555,91,69,89,80,78,data scientist,800000
556,94,87,86,98,51,junior developer,190000
557,99,52,69,64,68,economist,460000
558,57,90,72,59,67,robotics engineer,790000
559,83,57,84,68,90,data scientist,700000
560,76,58,71,61,58,economist,340000
561,82,91,81,62,64,developer,400000
562,54,80,91,70,82,developer,300000
563,94,56,51,91,52,economist,400000
564,90,57,56,75,51,data scientist,750000
565,91,97,89,99,72,developer,340000
566,62,57,65,79,81,data scientist,610000
567,51,73,91,77,74,data scientist,680000
568,88,62,69,66,82,junior developer,160000
569,89,70,91,84,63,junior developer,170000
570,97,51,72,79,89,economist,490000
571,69,76,62,74,68,data scientist,690000
572,76,89,58,53,77,economist,420000
573,61,93,74,81,80,senior developer,680000
574,64,61,72,55,80,junior developer,110000
575,65,89,90,70,98,robotics engineer,1120000
576,86,88,74,96,88,data scientist,810000
577,66,51,67,71,82,robotics engineer,770000
578,78,74,94,75,59,robotics engineer,860000
579,60,76,96,76,75,economist,340000
580,64,60,80,51,73,developer,240000
581,63,52,88,63,77,junior developer,120000
582,52,99,72,60,53,economist,350000
583,74,65,89,91,78,senior developer,590000
584,50,55,77,51,99,junior developer,120000
585,88,99,80,76,50,developer,360000
586,93,57,70,88,97,data scientist,760000
587,54,96,79,75,95,junior developer,170000
588,86,89,76,96,89,junior developer,170000
589,79,58,70,76,98,economist,400000
590,90,85,85,58,67,senior developer,590000
591,71,86,85,81,99,economist,400000
592,72,66,80,92,54,developer,290000
593,95,53,64,58,72,junior developer,140000
594,84,57,63,85,78,robotics engineer,970000
595,58,79,70,99,96,senior developer,500000
596,71,99,98,58,73,data scientist,990000
597,57,69,77,62,98,robotics engineer,800000
598,77,64,84,55,76,robotics engineer,920000
599,89,75,84,98,54,economist,360000
600,65,75,90,94,72,data scientist,730000
601,82,58,76,82,75,robotics engineer,980000
602,60,68,65,81,85,economist,370000
603,52,67,69,67,81,economist,320000
604,79,57,70,73,98,robotics engineer,900000
605,60,99,68,74,66,developer,350000
606,93,50,64,93,56,junior developer,170000
607,99,58,51,90,97,economist,410000
608,50,80,60,98,98,senior developer,510000
609,97,91,80,71,86,junior developer,220000
610,76,71,67,80,97,senior developer,540000
611,76,65,94,67,81,junior developer,130000
612,81,80,58,54,69,data scientist,710000
613,89,57,52,88,93,developer,280000
614,80,71,98,99,99,senior developer,620000
615,87,86,58,94,79,economist,370000
616,95,72,74,73,53,developer,330000
617,73,81,69,60,74,junior developer,160000
618,86,92,62,86,90,junior developer,170000
619,52,77,53,80,56,developer,280000
620,87,58,51,58,64,junior developer,170000
621,89,64,60,74,77,developer,280000
622,84,54,87,54,93,economist,480000
623,89,85,97,83,96,robotics engineer,990000
624,58,63,92,80,55,developer,270000
625,89,71,78,93,85,developer,280000
626,79,97,67,50,53,robotics engineer,860000
627,66,60,75,76,96,junior developer,120000
628,96,53,92,73,58,senior developer,500000
629,83,97,55,95,88,data scientist,1020000
630,60,77,67,91,54,data scientist,750000
631,97,97,61,95,77,developer,440000
632,93,50,73,54,75,developer,270000
633,98,84,92,64,78,economist,490000
634,88,56,88,67,55,junior developer,140000
635,94,54,67,95,88,senior developer,480000
636,56,84,51,67,88,economist,390000
637,89,88,87,77,57,economist,450000
638,78,62,99,50,91,robotics engineer,880000
639,89,87,71,95,55,senior developer,670000
640,61,93,76,58,56,data scientist,880000
641,72,74,96,82,95,data scientist,910000
642,97,71,92,86,60,developer,360000
643,88,67,52,83,60,senior developer,470000
644,91,83,62,80,60,robotics engineer,1040000
645,98,66,63,70,51,junior developer,170000
646,65,93,66,89,58,senior developer,570000
647,97,68,96,88,78,junior developer,150000
648,88,86,61,92,51,robotics engineer,980000
649,64,51,56,66,68,senior developer,380000
650,96,75,89,75,56,developer,370000
651,82,61,92,67,76,robotics engineer,890000
652,98,52,76,73,82,developer,260000
653,97,64,93,66,56,economist,410000
654,64,81,63,53,67,economist,340000
655,81,70,76,77,87,junior developer,160000
656,84,98,77,83,76,developer,340000
657,86,55,83,50,80,junior developer,150000
658,50,62,82,63,70,data scientist,760000
659,56,75,66,64,55,senior developer,470000
660,89,71,78,84,97,junior developer,180000
661,73,80,74,67,63,robotics engineer,990000
662,52,91,75,78,86,senior developer,640000
663,68,58,61,58,90,junior developer,140000
664,80,85,60,96,60,junior developer,160000
665,67,51,54,69,64,robotics engineer,740000
666,70,87,54,86,77,junior developer,150000
667,91,66,96,82,89,junior developer,140000
668,91,53,75,56,73,senior developer,480000
669,55,71,91,78,83,economist,350000
670,56,89,60,51,65,economist,370000
671,94,88,69,93,73,economist,480000
672,60,57,75,51,80,economist,360000
673,79,65,93,83,71,developer,280000
674,80,87,82,66,83,developer,320000
675,69,67,73,62,69,developer,250000
676,64,62,71,67,88,senior developer,500000
677,84,96,99,60,78,economist,410000
678,73,94,73,90,72,developer,410000
679,73,71,62,89,84,economist,360000
680,77,89,61,92,81,data scientist,800000
681,50,95,54,98,74,robotics engineer,1220000
682,88,73,97,81,84,economist,390000
683,68,63,94,73,63,junior developer,130000
684,75,64,77,73,74,robotics engineer,930000
685,89,66,77,60,61,senior developer,500000
686,93,85,89,89,80,data scientist,830000
687,90,53,72,88,92,robotics engineer,810000
688,60,97,91,91,90,data scientist,900000
689,51,69,56,59,51,senior developer,440000
690,80,84,74,78,98,data scientist,820000
691,89,72,50,92,51,data scientist,840000
692,69,59,54,52,51,developer,240000
693,78,55,80,97,67,senior developer,580000
694,83,60,91,86,88,data scientist,810000
695,84,56,98,77,86,robotics engineer,810000
696,90,82,68,67,95,junior developer,180000
697,81,83,75,50,83,data scientist,790000
698,61,96,71,58,74,developer,360000
699,78,96,62,85,51,senior developer,540000
700,58,80,68,65,74,developer,270000
701,51,63,62,58,87,economist,390000
702,74,55,76,72,93,senior developer,420000
703,54,71,76,93,78,robotics engineer,850000
704,97,53,79,95,60,economist,440000
705,90,77,89,80,85,junior developer,160000
706,69,98,55,60,67,developer,360000
707,84,80,86,69,92,junior developer,160000
708,95,59,63,67,61,junior developer,150000
709,65,95,62,73,63,data scientist,780000
